year,Ashare1,Ashare2,Ashare3,Ashare4,Ashare5
1980,.5334096,.13318777,.13259859,.11835448,.08244957
1981,.53832644,.13247246,.12999311,.11849174,.080716252
1982,.546368,.12779059,.12646848,.11880029,.080572657
1983,.55594409,.12989138,.12107573,.11382235,.079266481
1984,.56544799,.12886481,.11773114,.11009554,.077860527
1985,.57298958,.12471756,.11549431,.11001223,.076786309
1986,.58393145,.12660179,.11329901,.10642216,.069745593
1987,.58865219,.12757862,.1122841,.099302419,.07218264
1988,.58735538,.13267261,.11141405,.097929411,.070628546
1989,.59348541,.13299623,.10885074,.094661333,.070006274
1990,.59168601,.13905442,.11111508,.089598574,.068545938
1991,.59546512,.13894187,.10906266,.09108568,.065444656
1992,.59218752,.14506392,.1118608,.087890625,.062997162
1993,.58555609,.14942488,.11680496,.084647983,.063566111
1994,.58973396,.15267891,.11787187,.084938176,.054777071
1995,.5796138,.15919049,.12023766,.085889339,.055068698
1996,.57665718,.16612239,.11442385,.088680603,.054115951
1997,.57037008,.16005495,.12712817,.08766599,.054780833
1998,.56045806,.1628222,.13154654,.090256117,.05491709
1999,.55144316,.16596401,.13410085,.09242744,.056064539
2000,.54757071,.16521427,.14074251,.089132942,.057339542
2001,.56645358,.17351162,.13435212,.080743514,.044939142
2002,.55371416,.17588335,.13427918,.088740811,.047382526
2003,.54052526,.17664722,.13889094,.09259396,.051342636
2004,.52288485,.18305366,.13987139,.1014369,.052753214
2005,.51883346,.17909038,.14456446,.10138155,.056130137
2006,.50898761,.1801116,.14637282,.10813382,.056394167
2007,.50138026,.17571786,.14940275,.11336137,.060137767
2008,.48978692,.1771041,.15212157,.11370285,.067284539
2009,.48613298,.17419571,.15549134,.11305178,.071128197
2010,.48463997,.17516306,.15423967,.11443919,.071518093
2011,.47912681,.1695013,.15380383,.11918551,.078382559
2012,.47712013,.16432139,.15623826,.12342231,.078897901
2013,.47814104,.16376819,.15365475,.12700664,.077429369
2014,.47562212,.15959923,.15313861,.12628323,.085356839
2015,.47850892,.15414867,.15215465,.12703556,.088152207
2016,.47757271,.15475124,.15236218,.12781461,.087499253
2017,.48241013,.15470792,.14632051,.12758958,.088971876
